pOTU,Phylodist,Niche0ver,CladeID
pOTU054_pOTU005,44,0.049907188,NN
pOTU054_pOTU004,42,0.028277356,NN
pOTU054_pOTU003,44,0.035099554,NN
pOTU054_pOTU043,46,0.046583141,NN
pOTU054_pOTU046,52,0.017261668,NN
pOTU054_pOTU045,46,0.014732512,NN
pOTU054_pOTU041,52,0.020080587,NN
pOTU054_pOTU044,46,0.015667998,NN
pOTU054_pOTU042,52,0.015582598,NN
pOTU054_pOTU039,46,0.018633417,NN
pOTU054_pOTU038,52,0.019381777,NN
pOTU054_pOTU034,46,0.039800889,NN
pOTU054_pOTU035,46,0.029732733,NN
pOTU054_pOTU033,46,0.024241643,NN
pOTU054_pOTU025,46,0.030039652,NN
pOTU054_pOTU026,46,0.033858657,NN
pOTU054_pOTU027,52,0.018774999,NN
pOTU054_pOTU019,44,0.044129803,NN
pOTU054_pOTU021,48,0.02665523,NN
pOTU054_pOTU024,46,0.018787102,NN
pOTU054_pOTU052,44,0.643569075,NN
pOTU054_pOTU030,48,0.577940941,NN
pOTU054_pOTU037,48,0.005056227,NN
pOTU054_pOTU040,50,0.019147181,NN
pOTU054_pOTU031,48,0.684061477,NN
pOTU054_pOTU015,48,0.00568911,NN
pOTU054_pOTU014,46,0.545067335,NN
pOTU054_pOTU012,48,0.691127846,NN
pOTU054_pOTU013,46,0.007038168,NN
pOTU054_pOTU006,46,0.00127905,NN
pOTU054_pOTU009,44,0.626054688,NN
pOTU054_pOTU001,48,0.344024475,NN
pOTU036_pOTU047,48,0.537249569,NN
pOTU036_pOTU059,48,0.040705797,NN
pOTU036_pOTU049,48,0.082214517,NN
pOTU036_pOTU054,48,0.338786904,NN
pOTU036_pOTU022,48,0.531627405,NN
pOTU036_pOTU005,48,0.136127566,NN
pOTU036_pOTU004,48,0.060478816,NN
pOTU036_pOTU003,48,0.272021994,NN
pOTU036_pOTU002,48,0.589395124,NN
pOTU036_pOTU043,48,0.08661162,NN
pOTU036_pOTU046,52,0.047527349,NN
pOTU036_pOTU045,48,0.013505156,NN
pOTU036_pOTU048,48,0.006398754,NN
pOTU036_pOTU041,52,0.035812693,NN
pOTU036_pOTU044,48,0.034077756,NN
pOTU036_pOTU042,52,0.022407695,NN
pOTU036_pOTU039,48,0.049548467,NN
pOTU036_pOTU032,48,0.055187803,NN
pOTU036_pOTU038,52,0.044329988,NN
pOTU036_pOTU034,48,0.079789536,NN
pOTU036_pOTU035,48,0.054554102,NN
