SampleID,mixed_layer_depth,apparent_oxygen_utilization,Conductivity,chl_,density,nitrate,oxygen,O2sat_,phosphate,salinity,silicate,temperature,eastward_current_velocity,northward_current_velocity
SRR7033364,55.4548645,174.5096283,3.174394846,0.028588373,40.38017654,35.03421783,158.9124451,47.55693054,2.443836689,34.64480972,115.3785477,2.111270428,-0.048922539,0.006049147
SRR6401139,50.71136093,119.7812119,3.844887018,0.028610524,29.02388,21.96604538,156.4298401,57.83862686,1.634816647,34.77758408,23.1317215,10.23468494,-0.033957232,-0.024227953
SRR6401000,54.01649094,159.499649,3.174320698,0.028796574,41.21123123,33.93051147,175.0750732,52.2269516,2.359200239,34.62682724,105.8384476,2.052754402,0.034459557,0.000623336
SRR6400851,48.97639465,109.7492447,3.86375618,0.028817141,28.99034882,20.74360466,164.7036438,61.31646729,1.545338154,34.78402328,20.73410416,10.42243195,0.002090974,0.000471542
SRR6400852,48.97639465,109.7492447,3.86375618,0.028817141,28.99034882,20.74360466,164.7036438,61.31646729,1.545338154,34.78402328,20.73410416,10.42243195,0.002090974,0.000471542
SRR6400854,49.21993637,101.6313629,3.884358406,0.029269079,28.9568119,19.69510651,171.4509735,64.1295929,1.465197206,34.79305267,18.56628418,10.61930466,0.017139234,-0.003987589
SRR6400855,49.21993637,101.6313629,3.884358406,0.029269079,28.9568119,19.69510651,171.4509735,64.1295929,1.465197206,34.79305267,18.56628418,10.61930466,0.017139234,-0.003987589
SRR6401011,49.21993637,101.6313629,3.884358406,0.029269079,28.9568119,19.69510651,171.4509735,64.1295929,1.465197206,34.79305267,18.56628418,10.61930466,0.017139234,-0.003987589
SRR6401014,49.21993637,101.6313629,3.884358406,0.029269079,28.9568119,19.69510651,171.4509735,64.1295929,1.465197206,34.79305267,18.56628418,10.61930466,0.017139234,-0.003987589
SRR6401076,50.02904129,94.6292572,3.903296709,0.029456092,28.92913628,18.78537178,177.2690125,66.5477829,1.391294241,34.80284882,16.54327965,10.79606724,-0.035699464,0.019759744
SRR6401077,50.02904129,94.6292572,3.903296709,0.029456092,28.92913628,18.78537178,177.2690125,66.5477829,1.391294241,34.80284882,16.54327965,10.79606724,-0.035699464,0.019759744
SRR6401207,50.94036484,88.84753418,3.91818738,0.029634351,28.91135979,18.09853554,182.1555939,68.53820038,1.330148816,34.81229401,14.76817226,10.93266106,-0.053244203,0.024396757
ERR2220174,69.07771301,105.7145615,3.21382308,0.029848197,41.27845001,26.26398849,226.149826,68.10836792,1.758372307,34.77804565,58.81335449,2.372947931,0.00048856,-0.00139855
ERR2220173,69.07771301,105.7145615,3.21382308,0.029848197,41.27845001,26.26398849,226.149826,68.10836792,1.758372307,34.77804565,58.81335449,2.372947931,0.00048856,-0.00139855
ERR2220261,69.07771301,105.7145615,3.21382308,0.029848197,41.27845001,26.26398849,226.149826,68.10836792,1.758372307,34.77804565,58.81335449,2.372947931,0.00048856,-0.00139855
SRR6400810,55.64909363,158.7283173,3.17521143,0.032439895,41.2084198,33.85350037,175.822998,52.45591736,2.355766296,34.62411499,105.3399429,2.065107107,0.021262206,0.008827059
SRR6400815,55.64909363,158.7283173,3.17521143,0.032439895,41.2084198,33.85350037,175.822998,52.45591736,2.355766296,34.62411499,105.3399429,2.065107107,0.021262206,0.008827059
SRR6400996,55.64909363,158.7283173,3.17521143,0.032439895,41.2084198,33.85350037,175.822998,52.45591736,2.355766296,34.62411499,105.3399429,2.065107107,0.021262206,0.008827059
SRR6400816,55.64909363,158.7283173,3.17521143,0.032439895,41.2084198,33.85350037,175.822998,52.45591736,2.355766296,34.62411499,105.3399429,2.065107107,0.021262206,0.008827059
SRR7033590,56.67237473,176.2932434,3.175002337,0.032688532,40.17012024,35.28191757,156.7137146,46.98690796,2.45050478,34.64447021,116.5501251,2.138167858,-0.020886071,0.00470503
SRR7033594,56.67237473,176.2932434,3.175002337,0.032688532,40.17012024,35.28191757,156.7137146,46.98690796,2.45050478,34.64447021,116.5501251,2.138167858,-0.020886071,0.00470503
SRR6401147,53.70388412,137.3783112,3.807356119,0.033919998,29.0919838,24.1536808,141.5844421,51.72715759,1.783104539,34.76369858,26.68725777,9.864213943,-0.017130731,-0.017010879
SRR7033658,53.70388412,137.3783112,3.807356119,0.033919998,29.0919838,24.1536808,141.5844421,51.72715759,1.783104539,34.76369858,26.68725777,9.864213943,-0.017130731,-0.017010879
ERR2360797,27.12148285,80.09875488,3.741366863,0.034524757,26.00162506,13.99594021,196.674118,71.68192291,1.365316153,33.55168915,17.10671425,10.72368908,-0.025788112,0.054143243
ERR2360798,27.12148285,80.09875488,3.741366863,0.034524757,26.00162506,13.99594021,196.674118,71.68192291,1.365316153,33.55168915,17.10671425,10.72368908,-0.025788112,0.054143243
